Category,Top Text,Headline,Short Description
8,"The Front Releases Second Episode In ‘New Deep South’ Queer Web Series ""Being trans, being gay, being lesbian, is not black or white, but that’s how the people in the Delta perceive it.""",The Front Releases Second Episode In ‘New Deep South’ Queer Web Series,"""Being trans, being gay, being lesbian, is not black or white, but that’s how the people in the Delta perceive it."""
9,"Craft Room Ideas: How To Design And Organize A Creative Space (VIDEO) To learn more tips on how to design a craft room, check out the video above. Whether you already have a craft room or you",Craft Room Ideas: How To Design And Organize A Creative Space (VIDEO),"To learn more tips on how to design a craft room, check out the video above. Whether you already have a craft room or you"
9,"Chic Symbols, Cool Tile, and the Return of WallPaper: 2013 Home Style Trends Summer is the time of year for home decorating and design projects. It can mean a full overhaul of a space, remodeling, updating, painting, or just mixing in new pillows and other decor items.","Chic Symbols, Cool Tile, and the Return of WallPaper: 2013 Home Style Trends","Summer is the time of year for home decorating and design projects. It can mean a full overhaul of a space, remodeling, updating, painting, or just mixing in new pillows and other decor items."
9,"HuffPost Home Launch October 2012: A Note From The Editors Welcome to the new HuffPost Home. We'll bring you inspiring decor, DIY ideas, as well as features on design. For all you practical-minded readers, we've got you covered with cleaning and organizing tips. No matter what your interest, you'll have the tools to make your home happier.",HuffPost Home Launch October 2012: A Note From The Editors,"Welcome to the new HuffPost Home. We'll bring you inspiring decor, DIY ideas, as well as features on design. For all you practical-minded readers, we've got you covered with cleaning and organizing tips. No matter what your interest, you'll have the tools to make your home happier."
10,"Real Estate Ebb and Flow-Old to Young Much has been written about the Baby Boomer generation, as they're coming into retirement now.  Approximately 10,000 boomers hit the age of 65 every day.  The boomer years are from 1946 through 1964.  Those born in 1946 turned 65 in 2011, and we've progressed through births in 1949.",Real Estate Ebb and Flow-Old to Young,"Much has been written about the Baby Boomer generation, as they're coming into retirement now.  Approximately 10,000 boomers hit the age of 65 every day.  The boomer years are from 1946 through 1964.  Those born in 1946 turned 65 in 2011, and we've progressed through births in 1949."
10,"4% Rule"" Serves as Guideline for Today's Retirees, But Use With Caution An estimated 10,000 baby boomers turn age 65 each day. Many of them have a significant portion of their retirement savings invested in non-guaranteed defined contribution plans such as 401(k)s and IRAs. As they retire, they will need to switch from saving to spending down.","""4% Rule"" Serves as Guideline for Today's Retirees, But Use With Caution","An estimated 10,000 baby boomers turn age 65 each day. Many of them have a significant portion of their retirement savings invested in non-guaranteed defined contribution plans such as 401(k)s and IRAs. As they retire, they will need to switch from saving to spending down."
10,Near-Blind Shelter Dog Gets By With The Help Of 'Seeing-Eye Collie' The best friends are looking for a home where they can always be together.,Near-Blind Shelter Dog Gets By With The Help Of 'Seeing-Eye Collie',The best friends are looking for a home where they can always be together.
11,"I Breastfeed My Big Kid Suddenly, my kid was two. And then two and a half. And now, I breastfeed a toddler who is 32 months old and wears 4T clothing. A child who can ask for ""mommy milt"" and request to ""sitch sides.""",I Breastfeed My Big Kid,"Suddenly, my kid was two. And then two and a half. And now, I breastfeed a toddler who is 32 months old and wears 4T clothing. A child who can ask for ""mommy milt"" and request to ""sitch sides."""
11,"Mom Catches Twin Toddlers' Sneakiness On Baby Monitor Quick, kids -- duck!",Mom Catches Twin Toddlers' Sneakiness On Baby Monitor,"Quick, kids -- duck!"
11,"15 Things Never to Say to Parents of Biracial Kids These days, mixed-race babies account for 7 percent of the kids born to American moms every year. So why are the parents of biracial kids still hearing the same tired, old comments our parents and grandparents heard (or, God forbid, made!) back in the day?",15 Things Never to Say to Parents of Biracial Kids,"These days, mixed-race babies account for 7 percent of the kids born to American moms every year. So why are the parents of biracial kids still hearing the same tired, old comments our parents and grandparents heard (or, God forbid, made!) back in the day?"
12,"Republicans Are Banking On Trump To Save The Senate, Starting With Nevada Senate Democrats fled from Obama during midterm elections. Republicans are doing the opposite with Trump.","Republicans Are Banking On Trump To Save The Senate, Starting With Nevada",Senate Democrats fled from Obama during midterm elections. Republicans are doing the opposite with Trump.
12,"Rep. Pramila Jayapal, A Leading Progressive, Endorses Bernie Sanders For President The Washington Democrat, who co-chairs the Congressional Progressive Caucus, is the latest notable left-leaning lawmaker to back the Vermont senator.","Rep. Pramila Jayapal, A Leading Progressive, Endorses Bernie Sanders For President","The Washington Democrat, who co-chairs the Congressional Progressive Caucus, is the latest notable left-leaning lawmaker to back the Vermont senator."
12,Harry Reid Warns Of 'Constitutional Crisis' If Democrats Don't Win Back The Senate Senate Republicans have suggested that they will continue to leave a Supreme Court seat vacant if Hillary Clinton is elected president.,Harry Reid Warns Of 'Constitutional Crisis' If Democrats Don't Win Back The Senate,Senate Republicans have suggested that they will continue to leave a Supreme Court seat vacant if Hillary Clinton is elected president.
13,"Jesus Loves Muslims! Shouldn't Trump? Like Jews and Christians, Muslims consider offering hospitality to strangers as a core religious principle.",Jesus Loves Muslims! Shouldn't Trump?,"Like Jews and Christians, Muslims consider offering hospitality to strangers as a core religious principle."
13,"Muhammad as Spirit of Truth: A Christian Testimony Against Islamophobia Today as Christians we have the opportunity to embrace Muhammad, the Qur'an, and Islam in an expression of faith in Jesus.",Muhammad as Spirit of Truth: A Christian Testimony Against Islamophobia,"Today as Christians we have the opportunity to embrace Muhammad, the Qur'an, and Islam in an expression of faith in Jesus."
13,"A Muslim's Christmas Message As a Muslim American, I share the joy and celebration of my Christian friends and neighbors. And this interfaith harmony between the world's two largest faiths is not a new phenomenon. It was exemplified by the founder of Islam himself.",A Muslim's Christmas Message,"As a Muslim American, I share the joy and celebration of my Christian friends and neighbors. And this interfaith harmony between the world's two largest faiths is not a new phenomenon. It was exemplified by the founder of Islam himself."
14,"Google Is Attacking Apple From The Inside Out -- And It's Working After years of hammering away at Apple's share of the smartphone market with cheap-to-free Android phones, Google has lately",Google Is Attacking Apple From The Inside Out -- And It's Working,"After years of hammering away at Apple's share of the smartphone market with cheap-to-free Android phones, Google has lately"
14,VIDEO: Was Mars Once Like Earth? NASA's Curiosity rover has discovered that Mars was once habitable. Read more on weather.com,VIDEO: Was Mars Once Like Earth?,NASA's Curiosity rover has discovered that Mars was once habitable. Read more on weather.com
14,"Asteroid 1998 QE2 Radar Images Reveal Near-Earth Space Rock To Be 'Entirely New Beast,' Scientists Say Earth Crossing Asteroid Has A Moon | Video NEOs: Near Earth Objects - The Video Show Asteroid Basics: A Space Rock Quiz Copyright","Asteroid 1998 QE2 Radar Images Reveal Near-Earth Space Rock To Be 'Entirely New Beast,' Scientists Say",Earth Crossing Asteroid Has A Moon | Video NEOs: Near Earth Objects - The Video Show Asteroid Basics: A Space Rock Quiz Copyright
15,"Defensive Holding:  Four Incredible Quarterbacks Notwithstanding, the Run Will Dominate the NFL Championships It is difficult to imagine two more brilliant and exciting quarterbacks than Russell Wilson (Seattle Seahawks) and Colin Kaepernick (San Francisco 49ers) or two more effortlessly perfect passers and play-callers than Tom Brady (New England Patriots) and Peyton Manning (Denver Broncos).","Defensive Holding:  Four Incredible Quarterbacks Notwithstanding, the Run Will Dominate the NFL Championships",It is difficult to imagine two more brilliant and exciting quarterbacks than Russell Wilson (Seattle Seahawks) and Colin Kaepernick (San Francisco 49ers) or two more effortlessly perfect passers and play-callers than Tom Brady (New England Patriots) and Peyton Manning (Denver Broncos).
15,Warriors Ride Durant To Beat Cavaliers And Clinch NBA Title It was the Warriors' second NBA championship in three seasons.,Warriors Ride Durant To Beat Cavaliers And Clinch NBA Title,It was the Warriors' second NBA championship in three seasons.
15,"Chelsea vs Bayern Munich In Champions League Final: LIVE SCORE, UPDATES, COMMENTARY While most soccer fans -- as well as the sport's bookmakers -- were expecting this final to feature a pair of teams from","Chelsea vs Bayern Munich In Champions League Final: LIVE SCORE, UPDATES, COMMENTARY",While most soccer fans -- as well as the sport's bookmakers -- were expecting this final to feature a pair of teams from
16,"Rare Fashion Rips Off Victoria Beckham, Michael Kors? (PHOTOS, POLL) Check out the looks below, from the runway and red carpet -- do you think either is a case of fashion plagiarism? The Fashion","Rare Fashion Rips Off Victoria Beckham, Michael Kors? (PHOTOS, POLL)","Check out the looks below, from the runway and red carpet -- do you think either is a case of fashion plagiarism? The Fashion"
16,"Raffaella Fico Models Bikini At Fashion Week While Six Months Pregnant (PHOTOS) Want more? Be sure to check out HuffPost Style on Twitter, Facebook, Tumblr and Pinterest. We assume that modeling in a bikini",Raffaella Fico Models Bikini At Fashion Week While Six Months Pregnant (PHOTOS),"Want more? Be sure to check out HuffPost Style on Twitter, Facebook, Tumblr and Pinterest. We assume that modeling in a bikini"
16,"Agyness Deyn's Style Evolution (PHOTOS) Agyness Deyn is what we like to call a triple threat in the fashion business. The androgynous beauty is a model, actress",Agyness Deyn's Style Evolution (PHOTOS),"Agyness Deyn is what we like to call a triple threat in the fashion business. The androgynous beauty is a model, actress"
17,"15 Gripes About Hotel Rooms Everyone loves to gripe about air travel. But what about hotels? On a recent trip around the world, I stayed in six different hotels of various quality, and while my flights were perfect (thanks Singapore Airlines and United) the hotel stays were not always.",15 Gripes About Hotel Rooms,"Everyone loves to gripe about air travel. But what about hotels? On a recent trip around the world, I stayed in six different hotels of various quality, and while my flights were perfect (thanks Singapore Airlines and United) the hotel stays were not always."
17,"21 Disney World Hacks For The Happiest Trip On Earth If you are flying into Orlando International (MCO) and staying at a Disney resort hotel, you can utilize Disney's Magical Express. This service provides free coach bus transportation for you and your luggage between the airport and your Disney hotel. It also allows you to skip baggage claim upon arrival. For the trip back to the airport, you can also check-in with certain airlines at your hotel.",21 Disney World Hacks For The Happiest Trip On Earth,"If you are flying into Orlando International (MCO) and staying at a Disney resort hotel, you can utilize Disney's Magical Express. This service provides free coach bus transportation for you and your luggage between the airport and your Disney hotel. It also allows you to skip baggage claim upon arrival. For the trip back to the airport, you can also check-in with certain airlines at your hotel."
17,"Travel Is Always More Fun When You're the One Doing the Traveling (PHOTOS) While many travel experts jump at the chance to visit popular tourist destinations such as Costa Rica, Orlando, Ireland or Las Vegas, some venture off the beaten path.",Travel Is Always More Fun When You're the One Doing the Traveling (PHOTOS),"While many travel experts jump at the chance to visit popular tourist destinations such as Costa Rica, Orlando, Ireland or Las Vegas, some venture off the beaten path."
18,"Wedding Dress, After Divorce: Readers Share What They Did With Their Gowns From wedding rings to old Hallmark cards from your ex, there's a lot of relationship stuff to rid yourself of after divorce","Wedding Dress, After Divorce: Readers Share What They Did With Their Gowns","From wedding rings to old Hallmark cards from your ex, there's a lot of relationship stuff to rid yourself of after divorce"
18,"Your Second Wedding, Your Rules Maybe it's because my marriage ended in divorce, but I look back on my wedding as a big party, with no connection to the relationship or the marriage at all...even with all those personal details. If I marry again (which I think I probably will), I have no desire to have a big wedding -- and I'm know I'm not alone.","Your Second Wedding, Your Rules","Maybe it's because my marriage ended in divorce, but I look back on my wedding as a big party, with no connection to the relationship or the marriage at all...even with all those personal details. If I marry again (which I think I probably will), I have no desire to have a big wedding -- and I'm know I'm not alone."
18,"How To Divorce: How Do I Tell My Spouse I Want A Divorce? We as adults have no easier a time with the ""breakup"" than teenagers do.",How To Divorce: How Do I Tell My Spouse I Want A Divorce?,"We as adults have no easier a time with the ""breakup"" than teenagers do."
19,"Fit Links: What To Eat After A Workout, Must-Do Moves For A Stronger Butt And More For more on fitness and exercise, click here. You know it's important to refuel after a workout, but are you choosing the","Fit Links: What To Eat After A Workout, Must-Do Moves For A Stronger Butt And More","For more on fitness and exercise, click here. You know it's important to refuel after a workout, but are you choosing the"
19,"Yoga Improves Sleep for Cancer Patients Finding ways to help people coping with cancer to sleep better is an important goal of sleep research and clinical treatment. While short-term use of sleep medication may be useful, it's critical to identify strategies for improving sleep that don't rely on long-term use of sleep medicines.",Yoga Improves Sleep for Cancer Patients,"Finding ways to help people coping with cancer to sleep better is an important goal of sleep research and clinical treatment. While short-term use of sleep medication may be useful, it's critical to identify strategies for improving sleep that don't rely on long-term use of sleep medicines."
19,"Exercise: The Best Medicine for Doctors and Patients From reducing back pain to protecting against depression, heart disease, Type 2 diabetes, several cancers and more, regular exercise is a critical component of healthy living. It's time we found ways to bring exercise into doctors' exam rooms and medical schools across the country.",Exercise: The Best Medicine for Doctors and Patients,"From reducing back pain to protecting against depression, heart disease, Type 2 diabetes, several cancers and more, regular exercise is a critical component of healthy living. It's time we found ways to bring exercise into doctors' exam rooms and medical schools across the country."
20,"All Women Are Feminists (and All Men Are Too) Call yourself anti-feminist all you want ladies, but never forget that you have the freedom to define yourself because of feminism",All Women Are Feminists (and All Men Are Too),"Call yourself anti-feminist all you want ladies, but never forget that you have the freedom to define yourself because of feminism"
20,This Woman Just Nailed The Importance Of Intersectionality At The Women's March This is important.,This Woman Just Nailed The Importance Of Intersectionality At The Women's March,This is important.
20,The 20 Funniest Tweets From Women This Week Welcome to 2018.,The 20 Funniest Tweets From Women This Week,Welcome to 2018.
21,Hungary's Parliament Rejects Prime Minister's Migrant Ban A setback for Viktor Orban in his clash with the EU's refugee policy.,Hungary's Parliament Rejects Prime Minister's Migrant Ban,A setback for Viktor Orban in his clash with the EU's refugee policy.
21,UN Confirms Aid Convoy Bombed In Syria Near Aleppo A monitoring group claims a Syrian or Russian warplane struck the trucks.,UN Confirms Aid Convoy Bombed In Syria Near Aleppo,A monitoring group claims a Syrian or Russian warplane struck the trucks.
21,"Bomb At Kabul Mosque Kills At Least 5 Civilians, Taliban Say The roadside bomb, which the Taliban suspect came from the Islamic State, was the deadliest attack in the Afghan capital since the U.S. withdrew forces.","Bomb At Kabul Mosque Kills At Least 5 Civilians, Taliban Say","The roadside bomb, which the Taliban suspect came from the Islamic State, was the deadliest attack in the Afghan capital since the U.S. withdrew forces."
